tumour_acronym,studyId,studyName,geneSymbol,entrezGeneId,N,mut_n,mut_freq,amp_n,amp_freq,gain_n,gain_freq,shallow_del_n,shallow_del_freq,deep_del_n,deep_del_freq,any_cna_n,any_cna_freq,any_alter_n,any_alter_freq,mut_only_n,cna_only_n,mut_and_cna_n
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",LIN28A,79727,287,2,0.0069686411149825,1,0.0034843205574912,77,0.2682926829268293,31,0.1080139372822299,1,0.0034843205574912,110,0.3832752613240418,112,0.3902439024390244,2,110,0
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",LIN28B,389421,287,2,0.0069686411149825,1,0.0034843205574912,28,0.0975609756097561,78,0.2717770034843205,1,0.0034843205574912,108,0.3763066202090592,109,0.3797909407665505,1,107,1
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",PRKRA,8575,287,0,0.0,3,0.0104529616724738,38,0.1324041811846689,43,0.1498257839721254,0,0.0,84,0.2926829268292683,84,0.2926829268292683,0,84,0
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",SMAD2,4087,287,2,0.0069686411149825,0,0.0,34,0.1184668989547038,75,0.2613240418118467,1,0.0034843205574912,110,0.3832752613240418,111,0.3867595818815331,1,109,1
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",SMAD4,4089,287,11,0.0383275261324041,0,0.0,31,0.1080139372822299,75,0.2613240418118467,6,0.0209059233449477,112,0.3902439024390244,116,0.4041811846689895,4,105,7
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",TARBP2,6895,287,3,0.0104529616724738,1,0.0034843205574912,49,0.1707317073170731,16,0.0557491289198606,0,0.0,66,0.229965156794425,68,0.2369337979094076,2,65,1
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",TP53,7157,287,23,0.0801393728222996,0,0.0,14,0.048780487804878,103,0.3588850174216028,3,0.0104529616724738,120,0.4181184668989547,130,0.4529616724738676,10,107,13
CESC,cesc_tcga_pan_can_atlas_2018,"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",XPO5,57510,287,3,0.0104529616724738,2,0.0069686411149825,58,0.2020905923344947,38,0.1324041811846689,0,0.0,98,0.3414634146341463,100,0.3484320557491289,2,97,1
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",AGO1,26523,36,0,0.0,0,0.0,4,0.1111111111111111,16,0.4444444444444444,0,0.0,20,0.5555555555555556,20,0.5555555555555556,0,20,0
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",AGO2,27161,36,0,0.0,0,0.0,15,0.4166666666666667,1,0.0277777777777777,0,0.0,16,0.4444444444444444,16,0.4444444444444444,0,16,0
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",AGO3,192669,36,0,0.0,0,0.0,4,0.1111111111111111,16,0.4444444444444444,0,0.0,20,0.5555555555555556,20,0.5555555555555556,0,20,0
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",AGO4,192670,36,0,0.0,0,0.0,4,0.1111111111111111,17,0.4722222222222222,0,0.0,21,0.5833333333333334,21,0.5833333333333334,0,21,0
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",DGCR8,54487,36,0,0.0,0,0.0,6,0.1666666666666666,6,0.1666666666666666,0,0.0,12,0.3333333333333333,12,0.3333333333333333,0,12,0
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",DICER1,23405,36,1,0.0277777777777777,0,0.0,1,0.0277777777777777,19,0.5277777777777778,1,0.0277777777777777,21,0.5833333333333334,22,0.6111111111111112,1,21,0
